Precursor Name, Precursor Formula, Precursor Adduct, Precursor Charge
H10N10,C153O101N13H253,[M+H1],1
H10N10,C153O101N13H253,[M+H2],2
H10N10,C153O101N13H253,[M+H3],3
H10N10F1,C159O105N13H263,[M+H1],1
H10N10F1,C159O105N13H263,[M+H2],2
H10N10F1,C159O105N13H263,[M+H3],3
H10N10F2,C165O109N13H273,[M+H1],1
H10N10F2,C165O109N13H273,[M+H2],2
H10N10F2,C165O109N13H273,[M+H3],3
H10N10S1,C164O109N14H270,[M+H1],1
H10N10S1,C164O109N14H270,[M+H2],2
H10N10S1,C164O109N14H270,[M+H3],3
H10N10S1F1,C170O113N14H280,[M+H1],1
H10N10S1F1,C170O113N14H280,[M+H2],2
H10N10S1F1,C170O113N14H280,[M+H3],3
H10N10S2,C175O117N15H287,[M+H1],1
H10N10S2,C175O117N15H287,[M+H2],2
H10N10S2,C175O117N15H287,[M+H3],3
H10N2,C89O61N5H149,[M+H1],1
H10N2,C89O61N5H149,[M+H2],2
H10N2,C89O61N5H149,[M+H3],3
H10N2F1,C95O65N5H159,[M+H1],1
H10N2F1,C95O65N5H159,[M+H2],2
H10N2F1,C95O65N5H159,[M+H3],3
H10N3,C97O66N6H162,[M+H1],1
H10N3,C97O66N6H162,[M+H2],2
H10N3,C97O66N6H162,[M+H3],3
H10N3F1,C103O70N6H172,[M+H1],1
H10N3F1,C103O70N6H172,[M+H2],2
H10N3F1,C103O70N6H172,[M+H3],3
H10N3F2,C109O74N6H182,[M+H1],1
H10N3F2,C109O74N6H182,[M+H2],2
H10N3F2,C109O74N6H182,[M+H3],3
H10N3S1,C108O74N7H179,[M+H1],1
H10N3S1,C108O74N7H179,[M+H2],2
H10N3S1,C108O74N7H179,[M+H3],3
H10N3S1F1,C114O78N7H189,[M+H1],1
H10N3S1F1,C114O78N7H189,[M+H2],2
H10N3S1F1,C114O78N7H189,[M+H3],3
H10N3S1F2,C120O82N7H199,[M+H1],1
H10N3S1F2,C120O82N7H199,[M+H2],2
H10N3S1F2,C120O82N7H199,[M+H3],3
H10N3S2,C119O82N8H196,[M+H1],1
H10N3S2,C119O82N8H196,[M+H2],2
H10N3S2,C119O82N8H196,[M+H3],3
H10N3S2F1,C125O86N8H206,[M+H1],1
H10N3S2F1,C125O86N8H206,[M+H2],2
H10N3S2F1,C125O86N8H206,[M+H3],3
H10N3S2F2,C131O90N8H216,[M+H1],1
H10N3S2F2,C131O90N8H216,[M+H2],2
H10N3S2F2,C131O90N8H216,[M+H3],3
H10N4,C105O71N7H175,[M+H1],1
H10N4,C105O71N7H175,[M+H2],2
H10N4,C105O71N7H175,[M+H3],3
H10N4F1,C111O75N7H185,[M+H1],1
H10N4F1,C111O75N7H185,[M+H2],2
H10N4F1,C111O75N7H185,[M+H3],3
H10N4F2,C117O79N7H195,[M+H1],1
H10N4F2,C117O79N7H195,[M+H2],2
H10N4F2,C117O79N7H195,[M+H3],3
H10N4F3,C123O83N7H205,[M+H1],1
H10N4F3,C123O83N7H205,[M+H2],2
H10N4F3,C123O83N7H205,[M+H3],3
H10N4S1,C116O79N8H192,[M+H1],1
H10N4S1,C116O79N8H192,[M+H2],2
H10N4S1,C116O79N8H192,[M+H3],3
H10N4S1F1,C122O83N8H202,[M+H1],1
H10N4S1F1,C122O83N8H202,[M+H2],2
H10N4S1F1,C122O83N8H202,[M+H3],3
H10N4S1F2,C128O87N8H212,[M+H1],1
H10N4S1F2,C128O87N8H212,[M+H2],2
H10N4S1F2,C128O87N8H212,[M+H3],3
H10N4S1F3,C134O91N8H222,[M+H1],1
H10N4S1F3,C134O91N8H222,[M+H2],2
H10N4S1F3,C134O91N8H222,[M+H3],3
H10N4S2,C127O87N9H209,[M+H1],1
H10N4S2,C127O87N9H209,[M+H2],2
H10N4S2,C127O87N9H209,[M+H3],3
H10N4S2F1,C133O91N9H219,[M+H1],1
H10N4S2F1,C133O91N9H219,[M+H2],2
H10N4S2F1,C133O91N9H219,[M+H3],3
H10N4S2F2,C139O95N9H229,[M+H1],1
H10N4S2F2,C139O95N9H229,[M+H2],2
H10N4S2F2,C139O95N9H229,[M+H3],3
H10N4S2F3,C145O99N9H239,[M+H1],1
H10N4S2F3,C145O99N9H239,[M+H2],2
H10N4S2F3,C145O99N9H239,[M+H3],3
H10N4S3,C138O95N10H226,[M+H1],1
H10N4S3,C138O95N10H226,[M+H2],2
H10N4S3,C138O95N10H226,[M+H3],3
H10N4S3F1,C144O99N10H236,[M+H1],1
H10N4S3F1,C144O99N10H236,[M+H2],2
H10N4S3F1,C144O99N10H236,[M+H3],3
H10N4S3F2,C150O103N10H246,[M+H1],1
H10N4S3F2,C150O103N10H246,[M+H2],2
H10N4S3F2,C150O103N10H246,[M+H3],3
H10N4S3F3,C156O107N10H256,[M+H1],1
H10N4S3F3,C156O107N10H256,[M+H2],2
H10N4S3F3,C156O107N10H256,[M+H3],3
H10N4S4,C149O103N11H243,[M+H1],1
H10N4S4,C149O103N11H243,[M+H2],2
H10N4S4,C149O103N11H243,[M+H3],3
H10N4S4F1,C155O107N11H253,[M+H1],1
H10N4S4F1,C155O107N11H253,[M+H2],2
H10N4S4F1,C155O107N11H253,[M+H3],3
H10N4S4F2,C161O111N11H263,[M+H1],1
H10N4S4F2,C161O111N11H263,[M+H2],2
H10N4S4F2,C161O111N11H263,[M+H3],3
H10N4S4F3,C167O115N11H273,[M+H1],1
H10N4S4F3,C167O115N11H273,[M+H2],2
H10N4S4F3,C167O115N11H273,[M+H3],3
H10N5,C113O76N8H188,[M+H1],1
H10N5,C113O76N8H188,[M+H2],2
H10N5,C113O76N8H188,[M+H3],3
H10N5F1,C119O80N8H198,[M+H1],1
H10N5F1,C119O80N8H198,[M+H2],2
H10N5F1,C119O80N8H198,[M+H3],3
H10N5F2,C125O84N8H208,[M+H1],1
H10N5F2,C125O84N8H208,[M+H2],2
H10N5F2,C125O84N8H208,[M+H3],3
H10N5F3,C131O88N8H218,[M+H1],1
H10N5F3,C131O88N8H218,[M+H2],2
H10N5F3,C131O88N8H218,[M+H3],3
H10N5F4,C137O92N8H228,[M+H1],1
H10N5F4,C137O92N8H228,[M+H2],2
H10N5F4,C137O92N8H228,[M+H3],3
H10N5S1,C124O84N9H205,[M+H1],1
H10N5S1,C124O84N9H205,[M+H2],2
H10N5S1,C124O84N9H205,[M+H3],3
H10N5S1F1,C130O88N9H215,[M+H1],1
H10N5S1F1,C130O88N9H215,[M+H2],2
H10N5S1F1,C130O88N9H215,[M+H3],3
H10N5S1F2,C136O92N9H225,[M+H1],1
H10N5S1F2,C136O92N9H225,[M+H2],2
H10N5S1F2,C136O92N9H225,[M+H3],3
H10N5S1F3,C142O96N9H235,[M+H1],1
H10N5S1F3,C142O96N9H235,[M+H2],2
H10N5S1F3,C142O96N9H235,[M+H3],3
H10N5S1F4,C148O100N9H245,[M+H1],1
H10N5S1F4,C148O100N9H245,[M+H2],2
H10N5S1F4,C148O100N9H245,[M+H3],3
H10N5S2,C135O92N10H222,[M+H1],1
H10N5S2,C135O92N10H222,[M+H2],2
H10N5S2,C135O92N10H222,[M+H3],3
H10N5S2F1,C141O96N10H232,[M+H1],1
H10N5S2F1,C141O96N10H232,[M+H2],2
H10N5S2F1,C141O96N10H232,[M+H3],3
H10N5S2F2,C147O100N10H242,[M+H1],1
H10N5S2F2,C147O100N10H242,[M+H2],2
H10N5S2F2,C147O100N10H242,[M+H3],3
H10N5S2F3,C153O104N10H252,[M+H1],1
H10N5S2F3,C153O104N10H252,[M+H2],2
H10N5S2F3,C153O104N10H252,[M+H3],3
H10N5S2F4,C159O108N10H262,[M+H1],1
H10N5S2F4,C159O108N10H262,[M+H2],2
H10N5S2F4,C159O108N10H262,[M+H3],3
H10N5S3,C146O100N11H239,[M+H1],1
H10N5S3,C146O100N11H239,[M+H2],2
H10N5S3,C146O100N11H239,[M+H3],3
H10N5S3F1,C152O104N11H249,[M+H1],1
H10N5S3F1,C152O104N11H249,[M+H2],2
H10N5S3F1,C152O104N11H249,[M+H3],3
H10N5S3F2,C158O108N11H259,[M+H1],1
H10N5S3F2,C158O108N11H259,[M+H2],2
H10N5S3F2,C158O108N11H259,[M+H3],3
H10N5S3F3,C164O112N11H269,[M+H1],1
H10N5S3F3,C164O112N11H269,[M+H2],2
H10N5S3F3,C164O112N11H269,[M+H3],3
H10N5S3F4,C170O116N11H279,[M+H1],1
H10N5S3F4,C170O116N11H279,[M+H2],2
H10N5S3F4,C170O116N11H279,[M+H3],3
H10N5S4,C157O108N12H256,[M+H1],1
H10N5S4,C157O108N12H256,[M+H2],2
H10N5S4,C157O108N12H256,[M+H3],3
H10N5S4F1,C163O112N12H266,[M+H1],1
H10N5S4F1,C163O112N12H266,[M+H2],2
H10N5S4F1,C163O112N12H266,[M+H3],3
H10N5S4F2,C169O116N12H276,[M+H1],1
H10N5S4F2,C169O116N12H276,[M+H2],2
H10N5S4F2,C169O116N12H276,[M+H3],3
H10N5S4F3,C175O120N12H286,[M+H1],1
H10N5S4F3,C175O120N12H286,[M+H2],2
H10N5S4F3,C175O120N12H286,[M+H3],3
H10N6,C121O81N9H201,[M+H1],1
H10N6,C121O81N9H201,[M+H2],2
H10N6,C121O81N9H201,[M+H3],3
H10N6F1,C127O85N9H211,[M+H1],1
H10N6F1,C127O85N9H211,[M+H2],2
H10N6F1,C127O85N9H211,[M+H3],3
H10N6F2,C133O89N9H221,[M+H1],1
H10N6F2,C133O89N9H221,[M+H2],2
H10N6F2,C133O89N9H221,[M+H3],3
H10N6F3,C139O93N9H231,[M+H1],1
H10N6F3,C139O93N9H231,[M+H2],2
H10N6F3,C139O93N9H231,[M+H3],3
H10N6F4,C145O97N9H241,[M+H1],1
H10N6F4,C145O97N9H241,[M+H2],2
H10N6F4,C145O97N9H241,[M+H3],3
H10N6S1,C132O89N10H218,[M+H1],1
H10N6S1,C132O89N10H218,[M+H2],2
H10N6S1,C132O89N10H218,[M+H3],3
H10N6S1F1,C138O93N10H228,[M+H1],1
H10N6S1F1,C138O93N10H228,[M+H2],2
H10N6S1F1,C138O93N10H228,[M+H3],3
H10N6S1F2,C144O97N10H238,[M+H1],1
H10N6S1F2,C144O97N10H238,[M+H2],2
H10N6S1F2,C144O97N10H238,[M+H3],3
H10N6S1F3,C150O101N10H248,[M+H1],1
H10N6S1F3,C150O101N10H248,[M+H2],2
H10N6S1F3,C150O101N10H248,[M+H3],3
H10N6S1F4,C156O105N10H258,[M+H1],1
H10N6S1F4,C156O105N10H258,[M+H2],2
H10N6S1F4,C156O105N10H258,[M+H3],3
H10N6S2,C143O97N11H235,[M+H1],1
H10N6S2,C143O97N11H235,[M+H2],2
H10N6S2,C143O97N11H235,[M+H3],3
H10N6S2F1,C149O101N11H245,[M+H1],1
H10N6S2F1,C149O101N11H245,[M+H2],2
H10N6S2F1,C149O101N11H245,[M+H3],3
H10N6S2F2,C155O105N11H255,[M+H1],1
H10N6S2F2,C155O105N11H255,[M+H2],2
H10N6S2F2,C155O105N11H255,[M+H3],3
H10N6S2F3,C161O109N11H265,[M+H1],1
H10N6S2F3,C161O109N11H265,[M+H2],2
H10N6S2F3,C161O109N11H265,[M+H3],3
H10N6S2F4,C167O113N11H275,[M+H1],1
H10N6S2F4,C167O113N11H275,[M+H2],2
H10N6S2F4,C167O113N11H275,[M+H3],3
H10N6S3,C154O105N12H252,[M+H1],1
H10N6S3,C154O105N12H252,[M+H2],2
H10N6S3,C154O105N12H252,[M+H3],3
H10N6S3F1,C160O109N12H262,[M+H1],1
H10N6S3F1,C160O109N12H262,[M+H2],2
H10N6S3F1,C160O109N12H262,[M+H3],3
H10N6S3F2,C166O113N12H272,[M+H1],1
H10N6S3F2,C166O113N12H272,[M+H2],2
H10N6S3F2,C166O113N12H272,[M+H3],3
H10N6S3F3,C172O117N12H282,[M+H1],1
H10N6S3F3,C172O117N12H282,[M+H2],2
H10N6S3F3,C172O117N12H282,[M+H3],3
H10N6S4,C165O113N13H269,[M+H1],1
H10N6S4,C165O113N13H269,[M+H2],2
H10N6S4,C165O113N13H269,[M+H3],3
H10N6S4F1,C171O117N13H279,[M+H1],1
H10N6S4F1,C171O117N13H279,[M+H2],2
H10N6S4F1,C171O117N13H279,[M+H3],3
H10N6S4F2,C177O121N13H289,[M+H1],1
H10N6S4F2,C177O121N13H289,[M+H2],2
H10N6S4F2,C177O121N13H289,[M+H3],3
H10N7,C129O86N10H214,[M+H1],1
H10N7,C129O86N10H214,[M+H2],2
H10N7,C129O86N10H214,[M+H3],3
H10N7F1,C135O90N10H224,[M+H1],1
H10N7F1,C135O90N10H224,[M+H2],2
H10N7F1,C135O90N10H224,[M+H3],3
H10N7F2,C141O94N10H234,[M+H1],1
H10N7F2,C141O94N10H234,[M+H2],2
H10N7F2,C141O94N10H234,[M+H3],3
H10N7F3,C147O98N10H244,[M+H1],1
H10N7F3,C147O98N10H244,[M+H2],2
H10N7F3,C147O98N10H244,[M+H3],3
H10N7F4,C153O102N10H254,[M+H1],1
H10N7F4,C153O102N10H254,[M+H2],2
H10N7F4,C153O102N10H254,[M+H3],3
H10N7S1,C140O94N11H231,[M+H1],1
H10N7S1,C140O94N11H231,[M+H2],2
H10N7S1,C140O94N11H231,[M+H3],3
H10N7S1F1,C146O98N11H241,[M+H1],1
H10N7S1F1,C146O98N11H241,[M+H2],2
H10N7S1F1,C146O98N11H241,[M+H3],3
H10N7S1F2,C152O102N11H251,[M+H1],1
H10N7S1F2,C152O102N11H251,[M+H2],2
H10N7S1F2,C152O102N11H251,[M+H3],3
H10N7S1F3,C158O106N11H261,[M+H1],1
H10N7S1F3,C158O106N11H261,[M+H2],2
H10N7S1F3,C158O106N11H261,[M+H3],3
H10N7S1F4,C164O110N11H271,[M+H1],1
H10N7S1F4,C164O110N11H271,[M+H2],2
H10N7S1F4,C164O110N11H271,[M+H3],3
H10N7S2,C151O102N12H248,[M+H1],1
H10N7S2,C151O102N12H248,[M+H2],2
H10N7S2,C151O102N12H248,[M+H3],3
H10N7S2F1,C157O106N12H258,[M+H1],1
H10N7S2F1,C157O106N12H258,[M+H2],2
H10N7S2F1,C157O106N12H258,[M+H3],3
H10N7S2F2,C163O110N12H268,[M+H1],1
H10N7S2F2,C163O110N12H268,[M+H2],2
H10N7S2F2,C163O110N12H268,[M+H3],3
H10N7S2F3,C169O114N12H278,[M+H1],1
H10N7S2F3,C169O114N12H278,[M+H2],2
H10N7S2F3,C169O114N12H278,[M+H3],3
H10N7S3,C162O110N13H265,[M+H1],1
H10N7S3,C162O110N13H265,[M+H2],2
H10N7S3,C162O110N13H265,[M+H3],3
H10N7S3F1,C168O114N13H275,[M+H1],1
H10N7S3F1,C168O114N13H275,[M+H2],2
H10N7S3F1,C168O114N13H275,[M+H3],3
H10N7S3F2,C174O118N13H285,[M+H1],1
H10N7S3F2,C174O118N13H285,[M+H2],2
H10N7S3F2,C174O118N13H285,[M+H3],3
H10N7S4,C173O118N14H282,[M+H1],1
H10N7S4,C173O118N14H282,[M+H2],2
H10N7S4,C173O118N14H282,[M+H3],3
H10N7S4F1,C179O122N14H292,[M+H1],1
H10N7S4F1,C179O122N14H292,[M+H2],2
H10N7S4F1,C179O122N14H292,[M+H3],3
H10N8,C137O91N11H227,[M+H1],1
H10N8,C137O91N11H227,[M+H2],2
H10N8,C137O91N11H227,[M+H3],3
H10N8F1,C143O95N11H237,[M+H1],1
H10N8F1,C143O95N11H237,[M+H2],2
H10N8F1,C143O95N11H237,[M+H3],3
H10N8F2,C149O99N11H247,[M+H1],1
H10N8F2,C149O99N11H247,[M+H2],2
H10N8F2,C149O99N11H247,[M+H3],3
H10N8F3,C155O103N11H257,[M+H1],1
H10N8F3,C155O103N11H257,[M+H2],2
H10N8F3,C155O103N11H257,[M+H3],3
H10N8F4,C161O107N11H267,[M+H1],1
H10N8F4,C161O107N11H267,[M+H2],2
H10N8F4,C161O107N11H267,[M+H3],3
H10N8S1,C148O99N12H244,[M+H1],1
H10N8S1,C148O99N12H244,[M+H2],2
H10N8S1,C148O99N12H244,[M+H3],3
H10N8S1F1,C154O103N12H254,[M+H1],1
H10N8S1F1,C154O103N12H254,[M+H2],2
H10N8S1F1,C154O103N12H254,[M+H3],3
H10N8S1F2,C160O107N12H264,[M+H1],1
H10N8S1F2,C160O107N12H264,[M+H2],2
H10N8S1F2,C160O107N12H264,[M+H3],3
H10N8S1F3,C166O111N12H274,[M+H1],1
H10N8S1F3,C166O111N12H274,[M+H2],2
H10N8S1F3,C166O111N12H274,[M+H3],3
H10N8S2,C159O107N13H261,[M+H1],1
H10N8S2,C159O107N13H261,[M+H2],2
H10N8S2,C159O107N13H261,[M+H3],3
H10N8S2F1,C165O111N13H271,[M+H1],1
H10N8S2F1,C165O111N13H271,[M+H2],2
H10N8S2F1,C165O111N13H271,[M+H3],3
H10N8S2F2,C171O115N13H281,[M+H1],1
H10N8S2F2,C171O115N13H281,[M+H2],2
H10N8S2F2,C171O115N13H281,[M+H3],3
H10N8S3,C170O115N14H278,[M+H1],1
H10N8S3,C170O115N14H278,[M+H2],2
H10N8S3,C170O115N14H278,[M+H3],3
H10N8S3F1,C176O119N14H288,[M+H1],1
H10N8S3F1,C176O119N14H288,[M+H2],2
H10N8S3F1,C176O119N14H288,[M+H3],3
H10N8S4,C181O123N15H295,[M+H1],1
H10N8S4,C181O123N15H295,[M+H2],2
H10N8S4,C181O123N15H295,[M+H3],3
H10N9,C145O96N12H240,[M+H1],1
H10N9,C145O96N12H240,[M+H2],2
H10N9,C145O96N12H240,[M+H3],3
H10N9F1,C151O100N12H250,[M+H1],1
H10N9F1,C151O100N12H250,[M+H2],2
H10N9F1,C151O100N12H250,[M+H3],3
H10N9F2,C157O104N12H260,[M+H1],1
H10N9F2,C157O104N12H260,[M+H2],2
H10N9F2,C157O104N12H260,[M+H3],3
H10N9F3,C163O108N12H270,[M+H1],1
H10N9F3,C163O108N12H270,[M+H2],2
H10N9F3,C163O108N12H270,[M+H3],3
H10N9S1,C156O104N13H257,[M+H1],1
H10N9S1,C156O104N13H257,[M+H2],2
H10N9S1,C156O104N13H257,[M+H3],3
H10N9S1F1,C162O108N13H267,[M+H1],1
H10N9S1F1,C162O108N13H267,[M+H2],2
H10N9S1F1,C162O108N13H267,[M+H3],3
H10N9S1F2,C168O112N13H277,[M+H1],1
H10N9S1F2,C168O112N13H277,[M+H2],2
H10N9S1F2,C168O112N13H277,[M+H3],3
H10N9S2,C167O112N14H274,[M+H1],1
H10N9S2,C167O112N14H274,[M+H2],2
H10N9S2,C167O112N14H274,[M+H3],3
H10N9S2F1,C173O116N14H284,[M+H1],1
H10N9S2F1,C173O116N14H284,[M+H2],2
H10N9S2F1,C173O116N14H284,[M+H3],3
H10N9S3,C178O120N15H291,[M+H1],1
H10N9S3,C178O120N15H291,[M+H2],2
H10N9S3,C178O120N15H291,[M+H3],3
H11N10,C159O106N13H263,[M+H1],1
H11N10,C159O106N13H263,[M+H2],2
H11N10,C159O106N13H263,[M+H3],3
H11N10F1,C165O110N13H273,[M+H1],1
H11N10F1,C165O110N13H273,[M+H2],2
H11N10F1,C165O110N13H273,[M+H3],3
H11N10S1,C170O114N14H280,[M+H1],1
H11N10S1,C170O114N14H280,[M+H2],2
H11N10S1,C170O114N14H280,[M+H3],3
H11N2,C95O66N5H159,[M+H1],1
H11N2,C95O66N5H159,[M+H2],2
H11N2,C95O66N5H159,[M+H3],3
H11N2F1,C101O70N5H169,[M+H1],1
H11N2F1,C101O70N5H169,[M+H2],2
H11N2F1,C101O70N5H169,[M+H3],3
H11N3,C103O71N6H172,[M+H1],1
H11N3,C103O71N6H172,[M+H2],2
H11N3,C103O71N6H172,[M+H3],3
H11N3F1,C109O75N6H182,[M+H1],1
H11N3F1,C109O75N6H182,[M+H2],2
H11N3F1,C109O75N6H182,[M+H3],3
H11N3F2,C115O79N6H192,[M+H1],1
H11N3F2,C115O79N6H192,[M+H2],2
H11N3F2,C115O79N6H192,[M+H3],3
H11N3S1,C114O79N7H189,[M+H1],1
H11N3S1,C114O79N7H189,[M+H2],2
H11N3S1,C114O79N7H189,[M+H3],3
H11N3S1F1,C120O83N7H199,[M+H1],1
H11N3S1F1,C120O83N7H199,[M+H2],2
H11N3S1F1,C120O83N7H199,[M+H3],3
H11N3S1F2,C126O87N7H209,[M+H1],1
H11N3S1F2,C126O87N7H209,[M+H2],2
H11N3S1F2,C126O87N7H209,[M+H3],3
H11N3S2,C125O87N8H206,[M+H1],1
H11N3S2,C125O87N8H206,[M+H2],2
H11N3S2,C125O87N8H206,[M+H3],3
H11N3S2F1,C131O91N8H216,[M+H1],1
H11N3S2F1,C131O91N8H216,[M+H2],2
H11N3S2F1,C131O91N8H216,[M+H3],3
H11N3S2F2,C137O95N8H226,[M+H1],1
H11N3S2F2,C137O95N8H226,[M+H2],2
H11N3S2F2,C137O95N8H226,[M+H3],3
H11N4,C111O76N7H185,[M+H1],1
H11N4,C111O76N7H185,[M+H2],2
H11N4,C111O76N7H185,[M+H3],3
H11N4F1,C117O80N7H195,[M+H1],1
H11N4F1,C117O80N7H195,[M+H2],2
H11N4F1,C117O80N7H195,[M+H3],3
H11N4F2,C123O84N7H205,[M+H1],1
H11N4F2,C123O84N7H205,[M+H2],2
H11N4F2,C123O84N7H205,[M+H3],3
H11N4F3,C129O88N7H215,[M+H1],1
H11N4F3,C129O88N7H215,[M+H2],2
H11N4F3,C129O88N7H215,[M+H3],3
H11N4S1,C122O84N8H202,[M+H1],1
H11N4S1,C122O84N8H202,[M+H2],2
H11N4S1,C122O84N8H202,[M+H3],3
H11N4S1F1,C128O88N8H212,[M+H1],1
H11N4S1F1,C128O88N8H212,[M+H2],2
H11N4S1F1,C128O88N8H212,[M+H3],3
H11N4S1F2,C134O92N8H222,[M+H1],1
H11N4S1F2,C134O92N8H222,[M+H2],2
H11N4S1F2,C134O92N8H222,[M+H3],3
H11N4S1F3,C140O96N8H232,[M+H1],1
H11N4S1F3,C140O96N8H232,[M+H2],2
H11N4S1F3,C140O96N8H232,[M+H3],3
H11N4S2,C133O92N9H219,[M+H1],1
H11N4S2,C133O92N9H219,[M+H2],2
H11N4S2,C133O92N9H219,[M+H3],3
H11N4S2F1,C139O96N9H229,[M+H1],1
H11N4S2F1,C139O96N9H229,[M+H2],2
H11N4S2F1,C139O96N9H229,[M+H3],3
H11N4S2F2,C145O100N9H239,[M+H1],1
H11N4S2F2,C145O100N9H239,[M+H2],2
H11N4S2F2,C145O100N9H239,[M+H3],3
H11N4S2F3,C151O104N9H249,[M+H1],1
H11N4S2F3,C151O104N9H249,[M+H2],2
H11N4S2F3,C151O104N9H249,[M+H3],3
H11N4S3,C144O100N10H236,[M+H1],1
H11N4S3,C144O100N10H236,[M+H2],2
H11N4S3,C144O100N10H236,[M+H3],3
H11N4S3F1,C150O104N10H246,[M+H1],1
H11N4S3F1,C150O104N10H246,[M+H2],2
H11N4S3F1,C150O104N10H246,[M+H3],3
H11N4S3F2,C156O108N10H256,[M+H1],1
H11N4S3F2,C156O108N10H256,[M+H2],2
H11N4S3F2,C156O108N10H256,[M+H3],3
H11N4S3F3,C162O112N10H266,[M+H1],1
H11N4S3F3,C162O112N10H266,[M+H2],2
H11N4S3F3,C162O112N10H266,[M+H3],3
H11N4S4,C155O108N11H253,[M+H1],1
H11N4S4,C155O108N11H253,[M+H2],2
H11N4S4,C155O108N11H253,[M+H3],3
H11N4S4F1,C161O112N11H263,[M+H1],1
H11N4S4F1,C161O112N11H263,[M+H2],2
H11N4S4F1,C161O112N11H263,[M+H3],3
H11N4S4F2,C167O116N11H273,[M+H1],1
H11N4S4F2,C167O116N11H273,[M+H2],2
H11N4S4F2,C167O116N11H273,[M+H3],3
H11N4S4F3,C173O120N11H283,[M+H1],1
H11N4S4F3,C173O120N11H283,[M+H2],2
H11N4S4F3,C173O120N11H283,[M+H3],3
H11N5,C119O81N8H198,[M+H1],1
H11N5,C119O81N8H198,[M+H2],2
H11N5,C119O81N8H198,[M+H3],3
H11N5F1,C125O85N8H208,[M+H1],1
H11N5F1,C125O85N8H208,[M+H2],2
H11N5F1,C125O85N8H208,[M+H3],3
H11N5F2,C131O89N8H218,[M+H1],1
H11N5F2,C131O89N8H218,[M+H2],2
H11N5F2,C131O89N8H218,[M+H3],3
H11N5F3,C137O93N8H228,[M+H1],1
H11N5F3,C137O93N8H228,[M+H2],2
H11N5F3,C137O93N8H228,[M+H3],3
H11N5F4,C143O97N8H238,[M+H1],1
H11N5F4,C143O97N8H238,[M+H2],2
H11N5F4,C143O97N8H238,[M+H3],3
H11N5S1,C130O89N9H215,[M+H1],1
H11N5S1,C130O89N9H215,[M+H2],2
H11N5S1,C130O89N9H215,[M+H3],3
H11N5S1F1,C136O93N9H225,[M+H1],1
H11N5S1F1,C136O93N9H225,[M+H2],2
H11N5S1F1,C136O93N9H225,[M+H3],3
H11N5S1F2,C142O97N9H235,[M+H1],1
H11N5S1F2,C142O97N9H235,[M+H2],2
H11N5S1F2,C142O97N9H235,[M+H3],3
H11N5S1F3,C148O101N9H245,[M+H1],1
H11N5S1F3,C148O101N9H245,[M+H2],2
H11N5S1F3,C148O101N9H245,[M+H3],3
H11N5S1F4,C154O105N9H255,[M+H1],1
H11N5S1F4,C154O105N9H255,[M+H2],2
H11N5S1F4,C154O105N9H255,[M+H3],3
H11N5S2,C141O97N10H232,[M+H1],1
H11N5S2,C141O97N10H232,[M+H2],2
H11N5S2,C141O97N10H232,[M+H3],3
H11N5S2F1,C147O101N10H242,[M+H1],1
H11N5S2F1,C147O101N10H242,[M+H2],2
H11N5S2F1,C147O101N10H242,[M+H3],3
H11N5S2F2,C153O105N10H252,[M+H1],1
H11N5S2F2,C153O105N10H252,[M+H2],2
H11N5S2F2,C153O105N10H252,[M+H3],3
H11N5S2F3,C159O109N10H262,[M+H1],1
H11N5S2F3,C159O109N10H262,[M+H2],2
H11N5S2F3,C159O109N10H262,[M+H3],3
H11N5S2F4,C165O113N10H272,[M+H1],1
H11N5S2F4,C165O113N10H272,[M+H2],2
H11N5S2F4,C165O113N10H272,[M+H3],3
H11N5S3,C152O105N11H249,[M+H1],1
H11N5S3,C152O105N11H249,[M+H2],2
H11N5S3,C152O105N11H249,[M+H3],3
H11N5S3F1,C158O109N11H259,[M+H1],1
H11N5S3F1,C158O109N11H259,[M+H2],2
H11N5S3F1,C158O109N11H259,[M+H3],3
H11N5S3F2,C164O113N11H269,[M+H1],1
H11N5S3F2,C164O113N11H269,[M+H2],2
H11N5S3F2,C164O113N11H269,[M+H3],3
H11N5S3F3,C170O117N11H279,[M+H1],1
H11N5S3F3,C170O117N11H279,[M+H2],2
H11N5S3F3,C170O117N11H279,[M+H3],3
H11N5S4,C163O113N12H266,[M+H1],1
H11N5S4,C163O113N12H266,[M+H2],2
H11N5S4,C163O113N12H266,[M+H3],3
H11N5S4F1,C169O117N12H276,[M+H1],1
H11N5S4F1,C169O117N12H276,[M+H2],2
H11N5S4F1,C169O117N12H276,[M+H3],3
H11N5S4F2,C175O121N12H286,[M+H1],1
H11N5S4F2,C175O121N12H286,[M+H2],2
H11N5S4F2,C175O121N12H286,[M+H3],3
H11N6,C127O86N9H211,[M+H1],1
H11N6,C127O86N9H211,[M+H2],2
H11N6,C127O86N9H211,[M+H3],3
H11N6F1,C133O90N9H221,[M+H1],1
H11N6F1,C133O90N9H221,[M+H2],2
H11N6F1,C133O90N9H221,[M+H3],3
H11N6F2,C139O94N9H231,[M+H1],1
H11N6F2,C139O94N9H231,[M+H2],2
H11N6F2,C139O94N9H231,[M+H3],3
H11N6F3,C145O98N9H241,[M+H1],1
H11N6F3,C145O98N9H241,[M+H2],2
H11N6F3,C145O98N9H241,[M+H3],3
H11N6F4,C151O102N9H251,[M+H1],1
