Precursor Name, Precursor Formula, Precursor Adduct, Precursor Charge
H9N4F2,C111O74N7H185,[M+H2],2
H9N4F2,C111O74N7H185,[M+H3],3
H9N4F3,C117O78N7H195,[M+H1],1
H9N4F3,C117O78N7H195,[M+H2],2
H9N4F3,C117O78N7H195,[M+H3],3
H9N4S1,C110O74N8H182,[M+H1],1
H9N4S1,C110O74N8H182,[M+H2],2
H9N4S1,C110O74N8H182,[M+H3],3
H9N4S1F1,C116O78N8H192,[M+H1],1
H9N4S1F1,C116O78N8H192,[M+H2],2
H9N4S1F1,C116O78N8H192,[M+H3],3
H9N4S1F2,C122O82N8H202,[M+H1],1
H9N4S1F2,C122O82N8H202,[M+H2],2
H9N4S1F2,C122O82N8H202,[M+H3],3
H9N4S1F3,C128O86N8H212,[M+H1],1
H9N4S1F3,C128O86N8H212,[M+H2],2
H9N4S1F3,C128O86N8H212,[M+H3],3
H9N4S2,C121O82N9H199,[M+H1],1
H9N4S2,C121O82N9H199,[M+H2],2
H9N4S2,C121O82N9H199,[M+H3],3
H9N4S2F1,C127O86N9H209,[M+H1],1
H9N4S2F1,C127O86N9H209,[M+H2],2
H9N4S2F1,C127O86N9H209,[M+H3],3
H9N4S2F2,C133O90N9H219,[M+H1],1
H9N4S2F2,C133O90N9H219,[M+H2],2
H9N4S2F2,C133O90N9H219,[M+H3],3
H9N4S2F3,C139O94N9H229,[M+H1],1
H9N4S2F3,C139O94N9H229,[M+H2],2
H9N4S2F3,C139O94N9H229,[M+H3],3
H9N4S3,C132O90N10H216,[M+H1],1
H9N4S3,C132O90N10H216,[M+H2],2
H9N4S3,C132O90N10H216,[M+H3],3
H9N4S3F1,C138O94N10H226,[M+H1],1
H9N4S3F1,C138O94N10H226,[M+H2],2
H9N4S3F1,C138O94N10H226,[M+H3],3
H9N4S3F2,C144O98N10H236,[M+H1],1
H9N4S3F2,C144O98N10H236,[M+H2],2
H9N4S3F2,C144O98N10H236,[M+H3],3
H9N4S3F3,C150O102N10H246,[M+H1],1
H9N4S3F3,C150O102N10H246,[M+H2],2
H9N4S3F3,C150O102N10H246,[M+H3],3
H9N4S4,C143O98N11H233,[M+H1],1
H9N4S4,C143O98N11H233,[M+H2],2
H9N4S4,C143O98N11H233,[M+H3],3
H9N4S4F1,C149O102N11H243,[M+H1],1
H9N4S4F1,C149O102N11H243,[M+H2],2
H9N4S4F1,C149O102N11H243,[M+H3],3
H9N4S4F2,C155O106N11H253,[M+H1],1
H9N4S4F2,C155O106N11H253,[M+H2],2
H9N4S4F2,C155O106N11H253,[M+H3],3
H9N4S4F3,C161O110N11H263,[M+H1],1
H9N4S4F3,C161O110N11H263,[M+H2],2
H9N4S4F3,C161O110N11H263,[M+H3],3
H9N5,C107O71N8H178,[M+H1],1
H9N5,C107O71N8H178,[M+H2],2
H9N5,C107O71N8H178,[M+H3],3
H9N5F1,C113O75N8H188,[M+H1],1
H9N5F1,C113O75N8H188,[M+H2],2
H9N5F1,C113O75N8H188,[M+H3],3
H9N5F2,C119O79N8H198,[M+H1],1
H9N5F2,C119O79N8H198,[M+H2],2
H9N5F2,C119O79N8H198,[M+H3],3
H9N5F3,C125O83N8H208,[M+H1],1
H9N5F3,C125O83N8H208,[M+H2],2
H9N5F3,C125O83N8H208,[M+H3],3
H9N5F4,C131O87N8H218,[M+H1],1
H9N5F4,C131O87N8H218,[M+H2],2
